word,score,defs,defHeadword,level,hint,master_id
pods,206,adj	having ???? (of a particular kind),podded,Walk in the park,2,2
vous,203,"n	A commune of the Indre-et-Loire department, France",vou,Walk in the park,2,2
mods,198,"v	(transitive, informal) To modify (an object) from its original condition, typically for the purposes of individualizing and/or enhancing the performance of the object.
v	(transitive, Internet, informal) To moderate; to silence or punish (a rule-breaking user) on a forum, especially when done by a moderator.",mod,Walk in the park,2,2
sons,162,"v	(transitive) To produce (i.e. bear, father, beget) a ????.
v	(transitive) To address (someone) as ""????"".",son,Walk in the park,2,2
woos,159,"n	(Australia, colloquial) A coward; a wuss.",,Wee bit of a challenge,2,2
mots,157,"adj	Filled with ????, or fine floating dust.",moted,Wee bit of a challenge,2,2
rows,147,"adj	Formed into a ????, or ????s; having a specified number of ????s.",rowed,Wee bit of a challenge,2,2
lows,142,n	The sound of something that ????.,lowing,Wee bit of a challenge,2,2
bogs,141,adj	(obsolete) Bold; boastful; proud.,bog,Wee bit of a challenge,2,2
hogs,139,"n	(slang) The targeting by men of overweight or obese women for sexual encounters, not due to sexual attraction but for amusement, or to take advantage of low self-esteem.
n	Taking up too much of something so others cannot use it.
adj	(nautical, engineering) Drooping at the ends; arching; in distinction from sagging.",hogging,Wee bit of a challenge,2,2
soss,139,"n	(UK, dialect) Anything dirty or muddy; a dirty puddle.
v	(UK, dialect) To soil; to make dirty.
v	To fall suddenly into a chair or seat; to sit lazily.
v	To throw in a negligent or careless manner; to toss.
n	(obsolete) A lazy fellow.
n	A heavy fall.",,Wee bit of a challenge,2,2
dons,138,"n	(soccer) Aberdeen Football Club, a football club based in Aberdeen, Scotland.
n	(soccer) Wimbledon Football Club, a defunct football club based in London.
n	(soccer) AFC Wimbledon, a football club based in London, founded by the supporters of Wimbledon FC.
n	(soccer) Milton Keynes ???? F.C., a football club based in Milton Keynes, England.",,Wee bit of a challenge,2,2
nods,137,n	The act by which one ????.,nodding,Wee bit of a challenge,2,2
lops,133,"n	That which is lopped from anything, such as branches from a tree.
n	(Tyneside) A flea.
n	(US, dated, slang) (usually offensive) A disabled person, a cripple.
n	Any of several breeds of rabbits whose ears lie flat.
n	A county of Hotan prefecture, Xinjiang, China.
n	A town in ????, Hotan prefecture, Xinjiang, China.",lop,Wee bit of a challenge,2,2
yous,133,"v	(transitive) To address (a person) using the pronoun ???? (in the past, especially to use ???? rather than thou, when ???? was considered more formal).",you,Wee bit of a challenge,2,2
sods,117,"adj	(obsolete) Boiled.
adj	(Australia, of bread) Sodden; incompletely risen.",sod,Wee bit of a challenge,2,2
poes,113,"n	(South Africa, vulgar, slang) The female genitalia.
n	(South Africa, vulgar, slang, derogatory) A disliked person.",,Wee bit of a challenge,2,2
cobs,112,"v	To construct using mud blocks or to seal a wall using mud or an artificial equivalent.
v	(of growing corn) To have the heads mature into corncobs.
v	To remove the kernels from a corncob.
v	To thresh.
v	To break up ground with a hoe.
v	To beat with a flat instrument; to paddle.
v	(Northern UK, possibly colloquial) To throw, chuck, lob.
v	To chip off unwanted pieces of stone, so as to form a desired shape or improve the quality of mineral ore.",cob,Wee bit of a challenge,2,2
sows,112,adj	Obsolete form of sour.,sower,Wee bit of a challenge,2,2
nots,109,"n	Alternative letter-case form of NOT
n	(mathematics, logic) A unary operation on logical values that changes true to false, and false to true.",not,Wee bit of a challenge,2,2
moms,104,n	(African-American Vernacular) Affectionate term of address for one's mother.,,Wee bit of a challenge,2,2
hots,100,n	(slang) A condition of physical attraction toward (for) someone.,,Wee bit of a challenge,2,2
hods,97,"n	(pitmatic) lots, loads",,Wee bit of a challenge,2,2
tors,97,"adj	Alternative form of ???? (""hard, difficult; strong; rich"").",tor,Wee bit of a challenge,2,2
moos,96,"n	The action of the verb ????; a ????ing sound.
adj	(humorous) (of a steak) very rare",mooing,Wee bit of a challenge,2,2
sors,95,"n	(US, informal) A sorority (student organization).",sor,Wee bit of a challenge,2,2
lobs,94,n	A rounded projection; a ????.,lobing,Wee bit of a challenge,2,2
nogs,88,"v	(transitive) to fill in, as between scantling, with brickwork.
v	(transitive, shipbuilding) to fasten, as shores, with treenails.",nog,Wee bit of a challenge,2,2
sobs,87,adj	That or who ????.,sobbing,Wee bit of a challenge,2,2
fogs,82,n	The dispersal of insecticide into a forest canopy so as to collect organisms.,fogging,Wee bit of a challenge,2,2
hols,82,n	(mining) undercutting in a bed of coal in order to bring down the upper mass.,holing,Wee bit of a challenge,2,2
cous,77,"n	(informal, US, UK) ???? (usually as a term of address, but not necessarily towards one's ????)",,Wee bit of a challenge,2,2
pogs,75,n	The game of milk caps.,,Wee bit of a challenge,2,2
wows,73,"v	To apply an emoticon with the meaning of ""????""",wowed,Wee bit of a challenge,2,2
mops,72,"n	A pug dog.
n	3-(N-morpholino)propanesulfonic acid, a buffer that is a structural analog to MES.",,Wee bit of a challenge,2,2
dows,66,n	A city in Iowa,,Wee bit of a challenge,2,2
sots,66,"v	To drink until one becomes drunk
v	To stupefy; to infatuate; to besot.",sot,Wee bit of a challenge,2,2
homs,61,n	The third largest city in Syria; capital of ???? Governorate.,,Wee bit of a challenge,2,2
nobs,61,v	(informal) To hit in the head,nob,Wee bit of a challenge,2,2
cods,60,adj	En????d; written in ???? or cipher.,coded,Wee bit of a challenge,2,2
noms,59,"n	(slang) Food, especially tasty food.",,Wee bit of a challenge,2,2
tows,57,n	The act by which something is towed.,towing,Wee bit of a challenge,2,2
mows,51,"n	The activity by which something is mown.
n	Land from which grass is cut.",mowing,Wee bit of a challenge,2,2
tods,49,v	(obsolete) To weigh; to yield in ????.,tod,Wee bit of a challenge,2,2
bods,48,"adj	foreboding, ominous, portending.",boding,Tough nut to crack,2,2
foos,47,"n	(informal) The ???? Fighters, an American rock band.",,Tough nut to crack,2,2
bols,42,n	(informal) bolognese,bol,Tough nut to crack,2,2
woks,35,v	To prepare oriental cuisine using a ????.,wok,Tough nut to crack,2,2
gois,34,n	Alternative spelling of goy,goi,Tough nut to crack,2,2
hoys,34,"v	(transitive) To incite; to drive onward.
v	(Northumbria, Australia) To throw.",hoy,Tough nut to crack,2,2
goys,33,"adj	of or relating to a ????, not Jewish",goyish,Tough nut to crack,2,2
doos,32,"n	(South Africa, vulgar) vagina
n	(South Africa, vulgar) stupid person",,Tough nut to crack,2,2
wors,32,"n	(South Africa, slang) boerewors, a traditional home-made sausage, now commercially available.",,Tough nut to crack,2,2
goms,29,"n	(Ireland) A foolish person.
n	(Appalachia) Alternative form of gum",gom,Tough nut to crack,2,2
gots,26,"v	(nonstandard) has, has ???? (3rd person singular)
v	(nonstandard, dialectal) have, have ???? (other forms)",,Tough nut to crack,2,2
oohs,26,"n	An exclamation of ooh.
adj	Out-of-home; pertaining to advertising that reaches the consumer outside of their home, such as billboards.",ooh,Tough nut to crack,2,2
iops,25,"n	Input/Output Operation(s) Per Second, a common benchmark for hard disks and other computer storage media.
n	International Organisation of Pension Supervisors, an independent international body representing those involved in the supervision of private pension arrangements.",,Tough nut to crack,2,2
mogs,25,"n	(UK, depreciative or derogatory) Synonym of moggy: a domestic cat, especially a non-pedigree or unremarkable one.",mog,Tough nut to crack,2,2
hoos,24,"adv	(Northumbria, Tyneside) how
n	(obsolete outside placenames) A strip of land; a peninsula; a spur or ridge.
n	The village of ???? St Werburgh on the ???? Peninsula in Kent, England.
n	A village and civil parish in East Suffolk district, Suffolk, England (OS grid ref TM2558).",hoo,Tough nut to crack,2,2
pous,24,"n	The Greek foot, a unit of length based on the shod foot, generally equal to 16 fingers (δάκτυλοι) or ¹⁄₆₀₀ stade (στάδια) but varying over time and location within Greece and the Hellenized world.",,Tough nut to crack,2,2
nons,22,"adv	Obsolete form of none.
n	(Malaysia, slang) A non-Muslim citizen.",non,Tough nut to crack,2,2
poys,22,"n	A support structure.
n	A balancing pole used by tightrope walkers.
n	A long pole, normally with a hook, used to push barges upstream.",poy,Tough nut to crack,2,2
toas,22,"n	A small painted artifact made by the Diyari people of Australia, believed to have been used as place markers or signposts.
n	(New Zealand) A brave warrior.
n	A Polynesian tree of the genus Casuarina, or its wood.",toa,Tough nut to crack,2,2
zoss,22,"n	The individual human body and mind, in the dualist occultism of Austin Osman Spare.",zos,Tough nut to crack,2,2
coas,20,"n	chief of army staff
n	courses of action
n	charter ownership agreements",,Tough nut to crack,2,2
tols,19,"n	(obsolete, costermongers) Lot",tol,Tough nut to crack,2,2
gors,17,"adj	(nautical) Cut gradually sloping, so as to be broader at the clew than at the earing of a sail.",goring,Tough nut to crack,2,2
noos,17,n	Alternative form of ????,,Tough nut to crack,2,2
ooms,17,"n	(South Africa) An older man, especially an uncle. (Frequently as a respectful form of address.)",oom,Tough nut to crack,2,2
pobs,17,n	(Northern England) Pieces of bread soaked in hot milk used as a comfort food for children during illness,,Tough nut to crack,2,2
gogs,12,"n	(obsolete) Haste; ardent desire to go.
n	Gog of Magog, a figure mentioned in the Hebrew Bible in Ezekiel 38 and 39, and variously identified by later writers with Satan or certain hostile nations. (See Revelation 20:8.)
n	(obsolete) Replacement for the word God when swearing, forming vulgar minced oaths originating in the 14th century: by Gog’s wounds, Gog’s bread...
n	(UK, slang) A person from north Wales.",gog,Tough nut to crack,2,2
wois,12,n	An Austronesian language spoken by around 1300 people in Irian Jaya (Indonesian New Guinea),woi,Tough nut to crack,2,2
yoes,12,n	Alternative form of ????,yoe,Tough nut to crack,2,2
koes,11,"v	(transitive, boxing) To knock someone out, to render someone unconscious.
v	(intransitive, sports) To start play.",ko,Tough nut to crack,2,2
bofs,9,"n	(computing) beginning of file.
n	(Internet) big old frown.
n	birds of a feather (group of people with common interests from the phrase ""Birds of a feather flock together"").
n	best of friends.",bof,Tough nut to crack,2,2
eois,9,"n	(business) expression of interest, meaning a business communication that an organization is interested in providing goods or services.",eoi,Tough nut to crack,2,2
bous,8,"n	A municipality of Saarland, Germany.
n	A town in Luxembourg.",,Tough nut to crack,2,2
jols,7,"n	(South Africa, slang) A party.
v	(South Africa, slang) to party",jol,Tough nut to crack,2,2
ioss,6,"n	An island in the Cyclades, Greece.
n	(computing, mobile telephony) A mobile operating system (OS) created and developed by Apple Inc. exclusively for its hardware.",ios,Tough nut to crack,2,2
yots,2,"n	The letter Ϳϳ, an uncommon variant of Jj used in Greek linguistics.
v	(dialectal) To unite closely; fasten; rivet.",yot,Tough nut to crack,2,2
foxs,1,"adj	Of paper, having yellowish-brown stains.",foxed,Tough nut to crack,2,2
jods,1,n	(colloquial) Alternative form of jodhpurs,,Tough nut to crack,2,2
lofs,1,"n	Community, tribe: basic social organization of the Mapuche, Huilliche, and Picunche peoples, a (familial) clan which recognizes the authority of a lonco.",lof,Tough nut to crack,2,2
wobs,1,n	(slang) A Wobbly (member of the Industrial Workers of the World).,wob,Tough nut to crack,2,2
yoks,1,v	Alternative form of ????,yok,Tough nut to crack,2,2
arise,36368,"n	(obsolete) Arising, rising.",,Walk in the park,3,2
abuse,2391,adj	Capable of being ?????.,abusable,Walk in the park,3,2
angst,2110,"v	(informal, intransitive) To suffer ?????; to fret.",,Walk in the park,3,2
abyss,1829,"n	A village in ????? with Greenfield parish, East Lindsey district, Lincolnshire, England (OS grid ref TL4178).
n	A village in south-eastern Ivory Coast.",aby,Walk in the park,3,2
abase,1200,"adj	Humbled; lowered, especially in rank, position, or prestige.
adj	(heraldry) Borne lower than usual, as a fess; also, having the ends of the wings turned downward towards the point of the shield.",abased,Walk in the park,3,2
amiss,1200,"adj	(chiefly predicative) Wrong; faulty; out of order; improper or otherwise incorrect.
n	(obsolete) Fault; wrong; an evil act, a bad deed.",,Walk in the park,3,2
amuse,856,adv	In an ????? manner,amusedly,Walk in the park,3,2
amass,844,"n	(obsolete) A large number of things collected or piled together.
n	(obsolete) The act of ?????.",,Walk in the park,3,2
arose,822,v	simple past tense of ?????,,Walk in the park,3,2
abash,815,adj	Tending to ?????; causing embarrassment or the loss of self-possession.,abashing,Walk in the park,3,2
awash,808,"n	A market town in central Ethiopia.
n	A river in Ethiopia, after which the town is named.",,Walk in the park,3,2
amish,788,adj	Relating to this sect.,,Walk in the park,3,2
agist,496,adj	Unfairly discriminatory ????? someone based on their age.,ageist,Walk in the park,3,2
apish,379,adv	In an ????? manner; in the manner of an ape.,apishly,Wee bit of a challenge,3,2
ariss,261,n	(Cockney rhyming slang) arse,aris,Wee bit of a challenge,3,2
adust,255,adj	(obsolete) burnt; ?????,adusted,Wee bit of a challenge,3,2
abask,220,adv	in the sunshine; basking.,,Wee bit of a challenge,3,2
arist,151,"n	(obsolete) A rising, as from a seat, a bed, or the ground, or from below the horizon.",,Wee bit of a challenge,3,2
amyss,136,n	A hood or cape.,,Wee bit of a challenge,3,2
alist,129,n	(programming) An association ?????.,,Wee bit of a challenge,3,2
arish,129,n	Alternative form of ?????,,Wee bit of a challenge,3,2
alose,125,"n	A fish, the European shad (????? ?????); the allice or allis.
n	The American shad (????? sapidissima).",,Wee bit of a challenge,3,2
alish,113,adj	Resembling or characteristic of ale.,,Wee bit of a challenge,3,2
azusa,106,"n	A city in Los Angeles County, California, United States.",,Wee bit of a challenge,3,2
agush,58,adj	In a gushing state.,,Wee bit of a challenge,3,2
a list,44,n	Alternative spelling of A-list,,Tough nut to crack,3,2
anish,42,n	Alternative form of ?????.,,Tough nut to crack,3,2
agust,27,n	The tree Sesbania grandiflora.,,Tough nut to crack,3,2
akasa,26,"n	ether or atmosphere, as one of the elements in Hindu philosophy.",,Tough nut to crack,3,2
amasi,26,n	(South Africa) sour milk,,Tough nut to crack,3,2
aalst,25,"n	A city in East Flanders, Belgium.
n	Any of a number of towns in Belgium or the Netherlands.",,Tough nut to crack,3,2
arosa,20,"n	A town and municipality in Grisons canton, Switzerland.",,Tough nut to crack,3,2
alass,18,"n	A type of depression which occurs in Yakutia, formed by the subsidence of permafrost.",alas,Tough nut to crack,3,2
apass,9,"n	A barangay of Cebu City, Cebu, Philippines",apas,Tough nut to crack,3,2
arcss,6,"adj	(nautical, military) ship's prefix for warships of the navy of Colombia.",arc,Tough nut to crack,3,2
abasi,4,"n	The monetary unit of Afghanistan during the 19th century, valued at 1/3 of a rupee.",,Tough nut to crack,3,2
acass,2,"n	(aviation) Airborne Collision Avoidance System
n	(Britain) Advisory, Conciliation and Arbitration Service",acas,Tough nut to crack,3,2
abass,1,n	Alternative spelling of ?????,abas,Tough nut to crack,3,2
faint,1513,n	One who ?????.,fainter,Walk in the park,4,2
taunt,1513,"adj	(obsolete, nautical) Very high or tall.",,Walk in the park,4,2
haunt,1268,n	A particular instance of ?????; a ghostly habitation.,haunting,Walk in the park,4,2
saint,1134,"n	(soccer) A nickname of Southampton Football Club, a football club from Southampton, England.",saints,Walk in the park,4,2
jaunt,953,n	The act of taking a ?????.,jaunting,Walk in the park,4,2
fauna,877,"adj	Pertaining to animals.
adj	Pertaining to a specific ????? of a given region or time.",faunal,Walk in the park,4,2
tawny,707,"n	(color) A light brown to brownish orange colour.
n	A sweet, fortified wine which is blended and matured in wood.",,Walk in the park,4,2
vaunt,701,adj	Highly or widely praised or boasted about.,vaunted,Walk in the park,4,2
nanny,636,"v	(intransitive, transitive) To serve as a nanny.
v	(transitive, derogatory) To treat like a nanny's charges; to coddle.",,Walk in the park,4,2
maine,579,adj	Obsolete form of ?????.,,Walk in the park,4,2
fanny,531,n	Teenage Fanclub (Scottish rock band),fannies,Walk in the park,4,2
sauna,512,v	To use a ?????.,,Walk in the park,4,2
haint,350,"v	(US, dialectal) Alternative form of ?????",,Walk in the park,4,2
mains,320,"n	(chiefly Britain) The domestic electrical power supply.
n	The pipes of a centralized water supply that transport the water to individual buildings.
n	The ????? course of a meal.
n	(Scotland) The farm attached to a mansion house.",,Walk in the park,4,2
marne,320,"n	A river in France, a right tributary of the Seine in the area east and southeast of Paris.
n	One of the departments of Champagne-Ardenne, now of Grand Est, France. Capital: Châlons-en-Champagne (INSEE code 51).
n	A city in Iowa
n	A census-designated place in Ohio
n	A town in Schleswig-Holstein, Germany",,Walk in the park,4,2
gains,297,n	(bodybuilding) Increase in muscle mass.,,Walk in the park,4,2
banns,294,"n	A river in Northern Ireland, which flows through Lough Neagh.
n	A river in southeastern Ireland.",bann,Walk in the park,4,2
daint,271,"adj	(obsolete) Dainty.
adv	(Tyneside) do not, don't
adv	(West Midlands) didn't",,Walk in the park,4,2
barny,256,"n	(UK, Australia, slang) Alternative form of ????? (“argument or fight”)",,Walk in the park,4,2
taino,245,"n	A member of a group of pre-Columbian indigenous inhabitants of the Bahamas, Greater Antilles, and some of the Lesser Antilles.
n	Their Arawakan language, now extinct.
n	A municipality in Lombardy, Italy.",,Walk in the park,4,2
patna,222,"n	The capital and largest city of Bihar, India.
n	A district of Bihar, India, containing the city of the same name.",,Walk in the park,4,2
laine,213,n	(Sussex) an area of arable land at the foot of a hill,,Wee bit of a challenge,4,2
carny,198,"v	(dialectal) To cajole, wheedle, or coax.",,Wee bit of a challenge,4,2
ranny,197,"n	(obsolete outside dialects, East Anglia) A shrew (the animal).",,Wee bit of a challenge,4,2
barns,160,v	(transitive) To lay up in a ?????.,barn,Wee bit of a challenge,4,2
mainz,147,"n	A city, the state capital of Rhineland-Palatinate, Germany, on the River Rhine.",,Wee bit of a challenge,4,2
pawns,109,n	The act by which something is ?????.,pawning,Wee bit of a challenge,4,2
ganna,108,"n	(South Africa) A plant formerly used to provide alkaline ashes for soap-making, Salsola aphylla.",,Wee bit of a challenge,4,2
larne,93,"n	A town and seaport in County Antrim, Northern Ireland.",,Wee bit of a challenge,4,2
tanna,89,"n	Alternative form of thana
n	An island in Tafea, Vanuatu.
n	Any of the rabbinic sages whose views are recorded in the Mishna, from approximately 10–220 CE.",,Wee bit of a challenge,4,2
fawny,88,"n	(UK, slang, obsolete) A finger ring.",,Wee bit of a challenge,4,2
fawns,65,adj	Of the ????? colour.,fawn,Wee bit of a challenge,4,2
lawns,61,adj	Provided with a ?????.,lawned,Wee bit of a challenge,4,2
darns,60,"adj	(euphemistic) Damn.
adv	(degree, euphemistic) Damned.",darn,Wee bit of a challenge,4,2
yajna,59,n	(Hinduism) A ritual of sacrifice to the Devas.,,Wee bit of a challenge,4,2
sanny,54,"n	(slang) hand sanitiser.
n	(UK, dialect) The sandpiper.",,Wee bit of a challenge,4,2
